file_name,z,ebv,j
spec-3679-55209-0348.fits,0.02153715,0.0629,0
spec-3682-55244-0852.fits,0.02378438,0.0389,1
spec-5452-55957-0768.fits,0.02381487,0.0269,2
spec-5323-55957-0964.fits,0.0240757,0.0192,3
spec-5452-55957-0060.fits,0.02411862,0.0286,4
spec-5804-56304-0620.fits,0.02446656,0.0263,5
spec-4603-55999-0320.fits,0.02467713,0.0129,6
spec-5458-56011-0234.fits,0.02488478,0.0204,7
spec-5401-55949-0334.fits,0.02515606,0.0193,8
spec-3805-55269-0944.fits,0.0257016,0.0389,9
spec-6725-56390-0610.fits,0.0259914,0.0135,10
spec-4030-55634-0702.fits,0.02603905,0.0313,11
spec-7086-56658-0142.fits,0.02606065,0.0122,12
spec-5998-56087-0118.fits,0.02633664,0.0147,13
spec-5780-56274-0634.fits,0.02669864,0.0273,14
spec-4708-55704-0614.fits,0.02699581,0.0057,15
spec-4703-55617-0654.fits,0.0271542,0.0146,16
spec-6835-56420-0334.fits,0.0274496,0.0069,17
spec-4778-55706-0240.fits,0.02766308,0.0364,18
spec-5457-55976-0180.fits,0.02813742,0.0299,19
spec-6982-56444-0208.fits,0.02887629,0.0095,20
spec-6795-56425-0698.fits,0.02942449,0.0095,21
spec-6754-56414-0434.fits,0.0297184,0.0128,22
spec-4040-55605-0738.fits,0.02995537,0.0304,23
spec-7059-56592-0994.fits,0.03007861,0.0753,24
spec-5324-55947-0561.fits,0.03009189,0.0326,25
spec-6760-56425-0390.fits,0.03012373,0.017,26
spec-7090-56659-0106.fits,0.03027427,0.0079,27
spec-5293-55953-0848.fits,0.03030531,0.0223,28
spec-5175-55955-0662.fits,0.03035961,0.0253,29
spec-6498-56565-0347.fits,0.0306441,0.0427,30
spec-6036-56093-0224.fits,0.03097125,0.0068,31
spec-7565-56809-0655.fits,0.03111184,0.0079,32
spec-4960-55747-0842.fits,0.03111315,0.0139,33
spec-4481-55630-0430.fits,0.0312137,0.0325,34
spec-6445-56366-0382.fits,0.03135368,0.0214,35
spec-5199-56067-0794.fits,0.03149855,0.0106,36
spec-7057-56593-0296.fits,0.03154061,0.023,37
spec-5422-55986-0212.fits,0.03155633,0.0188,38
spec-6685-56412-0935.fits,0.03164591,0.0168,39
spec-6666-56371-0940.fits,0.03179063,0.0102,40
spec-5998-56087-0112.fits,0.03197008,0.0167,41
spec-5343-55999-0656.fits,0.03233694,0.0348,42
spec-4037-55631-0615.fits,0.03277184,0.0351,43
spec-6695-56628-0544.fits,0.03297213,0.0195,44
spec-6972-56426-0120.fits,0.03297221,0.0131,45
spec-5343-55999-0238.fits,0.03303195,0.0284,46
spec-6316-56483-0722.fits,0.03346631,0.0203,47
spec-5770-56014-0360.fits,0.03365194,0.0326,48
spec-4081-55365-0168.fits,0.03367614,0.0738,49
spec-3804-55267-0502.fits,0.03371083,0.043,50
spec-6691-56413-0896.fits,0.03373684,0.01,51
spec-5791-56255-0568.fits,0.03379119,0.0176,52
spec-4072-55362-0850.fits,0.03380192,0.0418,53
spec-6052-56092-0752.fits,0.03404486,0.0068,54
spec-4619-55599-0644.fits,0.0342555,0.0201,55
spec-5772-56003-0554.fits,0.03431558,0.0303,56
spec-4484-55565-0376.fits,0.03445413,0.0252,57
spec-4618-55600-0146.fits,0.03461907,0.0222,58
spec-6496-56363-0044.fits,0.03488298,0.0129,59
spec-6445-56366-0469.fits,0.03490999,0.0271,60
spec-6596-56331-0314.fits,0.03500283,0.0457,61
spec-5992-56066-0296.fits,0.03502249,0.0235,62
spec-4768-55944-0385.fits,0.03522164,0.0327,63
spec-4185-55469-0618.fits,0.03584142,0.0906,64
spec-3942-55338-0352.fits,0.0358454,0.0501,65
spec-4704-55681-0882.fits,0.03610944,0.0129,66
spec-6421-56274-0021.fits,0.0362234,0.0186,67
spec-6681-56419-0888.fits,0.03632897,0.0156,68
spec-6141-56210-0648.fits,0.03651526,0.1862,69
spec-4010-55350-0796.fits,0.03712203,0.0532,70
spec-6041-56102-0698.fits,0.03712326,0.0168,71
spec-4487-55866-0920.fits,0.03712963,0.0324,72
spec-5732-56326-0192.fits,0.03720494,0.0157,73
spec-5044-56186-0270.fits,0.03753876,0.0405,74
spec-4703-55617-0982.fits,0.03773261,0.0128,75
spec-4013-55629-0115.fits,0.0378557,0.0415,76
spec-6032-56067-0198.fits,0.03786598,0.0127,77
spec-6604-56337-0158.fits,0.03790317,0.0397,78
spec-5887-56035-0298.fits,0.03790795,0.0292,79
spec-6425-56298-0594.fits,0.03814375,0.0172,80
spec-5798-56326-0239.fits,0.03843425,0.0102,81
spec-4758-55682-0140.fits,0.03876004,0.0206,82
spec-4807-55687-0428.fits,0.03918255,0.0781,83
spec-3955-55678-0162.fits,0.03934925,0.0559,84
spec-5454-56015-0260.fits,0.03999919,0.0148,85
spec-6320-56453-0040.fits,0.04001642,0.0147,86
spec-3692-55186-0520.fits,0.04019401,0.0407,87
spec-6496-56363-0206.fits,0.04035212,0.0132,88
spec-3955-55678-0284.fits,0.04042416,0.0795,89
spec-3955-55678-0242.fits,0.04045894,0.0553,90
spec-3955-55678-0172.fits,0.04075306,0.0535,91
spec-6143-56267-0666.fits,0.04078919,0.0471,92
spec-6641-56383-0070.fits,0.0409022,0.0108,93
spec-4607-56248-0642.fits,0.04093961,0.0267,94
spec-6391-56329-0988.fits,0.04095014,0.0453,95
spec-3803-55513-0414.fits,0.04099925,0.0404,96
spec-5352-56269-0758.fits,0.04123809,0.0269,97
spec-4637-55616-0924.fits,0.04144716,0.0106,98
spec-3800-55486-0078.fits,0.0414594,0.0435,99
spec-6497-56329-0088.fits,0.04229545,0.0142,100
spec-5874-56039-0382.fits,0.04231454,0.0204,101
spec-4019-55363-0338.fits,0.042399,0.0424,102
spec-4878-55710-0291.fits,0.04254912,0.0387,103
spec-3690-55182-0074.fits,0.04257756,0.0413,104
spec-5209-56002-0264.fits,0.0425882,0.038,105
spec-5798-56326-0235.fits,0.04263996,0.0118,106
spec-4774-55659-0280.fits,0.04264919,0.0358,107
spec-5151-56567-0598.fits,0.04273789,0.0704,108
spec-5395-56003-0652.fits,0.0430129,0.0282,109
spec-5000-55715-0216.fits,0.04305783,0.0455,110
spec-5478-56014-0940.fits,0.04338953,0.0294,111
spec-4072-55362-0413.fits,0.04354621,0.0352,112
spec-6494-56363-0756.fits,0.04354729,0.0137,113
spec-5884-56046-0166.fits,0.0440692,0.0271,114
spec-4092-55477-0424.fits,0.04407698,0.0751,115
spec-6168-56187-0700.fits,0.04408668,0.0575,116
spec-3692-55186-0810.fits,0.04424687,0.0284,117
spec-6440-56370-0194.fits,0.0445389,0.0213,118
spec-6412-56358-0306.fits,0.04477255,0.0153,119
spec-7088-56657-0390.fits,0.04496539,0.0047,120
spec-5341-55931-0319.fits,0.04500458,0.0269,121
spec-3587-55182-0133.fits,0.04502468,0.0198,122
spec-3736-55214-0228.fits,0.04526,0.0292,123
spec-3941-55321-0093.fits,0.04541644,0.0559,124
spec-4466-55857-0292.fits,0.04553378,0.0601,125
spec-4485-55836-0078.fits,0.0457955,0.0329,126
spec-4311-55506-0979.fits,0.04595648,0.028,127
spec-7136-56570-0900.fits,0.04606064,0.0732,128
spec-5415-55982-0085.fits,0.04626175,0.0264,129
spec-6716-56401-0946.fits,0.04646431,0.0141,130
spec-4466-55857-0256.fits,0.04650261,0.06,131
spec-5401-55949-0732.fits,0.04686625,0.0205,132
spec-6435-56341-0080.fits,0.04710987,0.0172,133
spec-4449-55544-0570.fits,0.04720807,0.0405,134
spec-5296-55922-0518.fits,0.04722746,0.0315,135
spec-5313-55973-0928.fits,0.04747754,0.0255,136
